date,open,high,low,close,volume,ticker
2016-01-04,23.214478479947225,23.83890114650032,23.076471989765675,23.834375381469727,270597600,AAPL
2016-01-04,47.81814632724664,48.240692138671875,46.99946276820537,48.240692138671875,53778000,MSFT
2016-01-05,23.92487601583818,23.947499666855865,23.16923537018913,23.237106323242188,223164000,AAPL
2016-01-05,48.3551378434024,48.760077202840534,48.01181954483112,48.46077346801758,34079700,MSFT
2016-01-06,22.750688529742455,23.160184007754427,22.594584139961913,22.78236198425293,273829600,AAPL
2016-01-06,47.81814222289529,47.888568197802456,47.21953486856561,47.58045959472656,39518900,MSFT
2016-01-07,22.32535859680786,22.65340583772468,21.816318703339366,21.820842742919922,324377600,AAPL
2016-01-07,46.39205507445411,47.08749654412079,45.837462212483594,45.92549133300781,56564900,MSFT
2016-01-08,22.29594250225007,22.422636292013316,21.890972880172917,21.936220169067383,283192000,AAPL
2016-01-08,46.101562484886365,46.90263973679298,45.907897707984546,46.06635284423828,48754000,MSFT
2016-01-11,22.39096802012428,22.41132878701104,22.0221957987083,22.29142189025879,198957600,AAPL
2016-01-11,46.224795420439804,46.52409913399275,45.30047621502787,46.03993225097656,36943800,MSFT
2016-01-12,22.748426921716945,22.780100375599023,22.361555100877425,22.614944458007812,196616800,AAPL
2016-01-12,46.44488358137089,46.744187372253464,45.82867285728612,46.46249008178711,36095500,MSFT
2016-01-13,22.696391414550362,22.893220789831734,22.013147534066185,22.03350830078125,249758400,AAPL
2016-01-13,47.36038487874482,47.59806751403222,45.15962346841192,45.458927154541016,66883600,MSFT
2016-01-14,22.16245863979152,22.73258410919208,21.660205825439274,22.515392303466797,252680400,AAPL
2016-01-14,45.77583687030202,47.025867726797564,45.3973056429192,46.75297546386719,52381900,MSFT
2016-01-15,21.764282446911434,22.105905253885545,21.574241717886682,21.974685668945312,319335600,AAPL
2016-01-15,45.16843505691153,45.74943602061298,44.31453842916244,44.88673782348633,71820700,MSFT
2016-01-19,22.264268891496815,22.318565982986577,21.60590996864892,21.868349075317383,212350800,AAPL
2016-01-19,45.31808021585451,45.49414180673867,44.06804930095845,44.508201599121094,43564500,MSFT
2016-01-20,21.515416277343235,22.214498535192835,21.135333138627338,21.897762298583984,289337600,AAPL
2016-01-20,43.99763381330757,45.23006188529342,43.22296464354229,44.7106819152832,63273000,MSFT
2016-01-21,21.958848309910092,22.144364994082142,21.479220735553653,21.786907196044922,208646000,AAPL
2016-01-21,44.89552958736809,45.40610781024737,44.279315764549885,44.43777084350586,40191200,MSFT
2016-01-22,22.314038193365874,22.954297452252362,22.255217068787555,22.945247650146484,263202000,AAPL
2016-01-22,45.25647395032025,46.06635618977836,45.124426874486836,46.03114318847656,37555800,MSFT
2016-01-25,22.967880831467927,22.97014371445254,22.44526705683098,22.497303009033203,207178000,AAPL
2016-01-25,45.723024217931616,46.348043097636676,45.46773841094345,45.590980529785156,34707700,MSFT
2016-01-26,22.608151241962222,22.823078437195598,22.18734492773676,22.62172508239746,300308000,AAPL
2016-01-26,45.59097798853923,46.163173988138034,45.37970339794714,45.92549133300781,28900800,MSFT
2016-01-27,21.728085218447188,21.86156596174221,21.117236311805794,21.13533592224121,533478800,AAPL
2016-01-27,45.78464871277039,45.9519087649737,44.91314888808543,45.089210510253906,36775200,MSFT
2016-01-28,21.219045781309546,21.384199983373826,20.902309496188032,21.286916732788086,222715200,AAPL
2016-01-28,45.65259746456625,45.960702733833706,45.11561111690391,45.82865905761719,62513800,MSFT
2016-01-29,21.445283124119083,22.022193908691406,21.345737002796966,22.022193908691406,257666000,AAPL
2016-01-29,48.179072913654,48.4959831237793,47.536450924498006,48.4959831237793,83611700,MSFT
