date,open,high,low,close,volume,ticker,vix,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,ema_50,rsi_14,macd_line,macd_signal,macd_hist,bb_middle_20,bb_upper_20,bb_lower_20,bb_pct_b_20,atr_14,adx_14,pdi_14,ndi_14,cci_20,stoch_k_14,stoch_d_14_3,obv,mfi_14,roc_12,williams_r_14,vwap,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,keltner_middle,keltner_upper,keltner_lower
2016-01-04,23.21447662220591,23.838899238789512,23.07647014306835,23.834373474121094,270597600,AAPL,20.700000762939453,,,,,23.834373474121094,23.834373474121094,23.834373474121094,23.834373474121094,,0.0,0.0,0.0,,,,,,,,,,,,,,,,23.58324761865965,,,,,21.443368911743164,23.834373474121094,25.35923166556342,22.309515282678767
2016-01-05,23.924874052036024,23.947497701196713,23.169233468411488,23.237104415893555,223164000,AAPL,19.34000015258789,,,,,23.63528378804525,23.725779099897906,23.777490706670854,23.81095115811217,,-0.04764539495831954,-0.009529078991663909,-0.038116315966655635,,,,,,,,,,,,-223164000.0,,,,23.451278528500584,,,,,21.313711166381836,23.777490706670854,25.30810712977284,22.246874283568868
2016-01-06,22.7506828156517,23.16017819081429,22.59457846507853,22.78235626220703,273829600,AAPL,20.59000015258789,,,,,23.350974612765846,23.5542476748632,23.6827159976743,23.770614103370796,,-0.1207076466304784,-0.03176479251942681,-0.08894285411105159,,,,,,,,,,,,-496993600.0,,,,22.845704306033284,,,,,21.379674911499023,23.6827159976743,25.168684325963206,22.196747669385395
2016-01-07,22.32534883956734,22.65339593711196,21.816309168573422,21.820833206176758,324377600,AAPL,24.989999771118164,,,,,22.84092747723615,23.239081407829296,23.50539382705549,23.694152107402406,,-0.2532772597135846,-0.07606728595825837,-0.17720997375532624,,,,,,,,,,,,-821371200.0,,,,22.096846103954046,,,,,21.98246192932129,23.50539382705549,25.072475947885906,21.938311706225072
2016-01-08,22.295946379502862,22.422640191298093,21.890976687001704,21.93622398376465,283192000,AAPL,27.010000228881836,22.722178268432618,,,,22.539359646078985,23.002198239817538,23.35594908007541,23.62521374961269,,-0.3450510283362007,-0.12986403443384684,-0.21518699390235388,,,,,,,,,,,,-538179200.0,,,,22.083280287354814,,,,,22.319122314453125,23.35594908007541,24.856946082617146,21.85495207753367
2016-01-11,22.390962272525616,22.411323034185916,22.02219014577078,22.29141616821289,198957600,AAPL,24.299999237060547,22.413586807250976,,,,22.456711820123623,22.87296513588942,23.254564993231362,23.572907962106814,,-0.38468692888698186,-0.18082861332447386,-0.203858315562508,,,,,,,,,,,,-339221600.0,,,,22.241643116056526,,,,,21.896024703979492,23.254564993231362,24.6554167409187,21.853713245544025
2016-01-12,22.748430758930084,22.78010421815485,22.361558872832877,22.614948272705078,196616800,AAPL,22.469999313354492,22.289155578613283,,,,22.509457304317444,22.826052978946812,23.193649115086004,23.53534091546361,,-0.38554797165090093,-0.2217724849897593,-0.16377548666114164,,,,,,,,,,,,-142604800.0,,,,22.585537121230935,,,,,21.84598159790039,23.193649115086004,24.517505290445445,21.869792939726562
2016-01-13,22.696393379282014,22.89322277160208,22.01314943965227,22.033510208129883,249758400,AAPL,25.219999313354492,22.13938636779785,,,,22.350808272254923,22.681954293343733,23.083159695375898,23.476445593607387,,-0.42821139239614325,-0.2630602664710361,-0.16515112592510717,,,,,,,,,,,,-392363200.0,,,,22.313294139794746,,,,,22.037063598632812,23.083159695375898,24.48634141410628,21.679977976645514
2016-01-14,22.162462394692575,22.732587960687326,21.66020949524555,22.515396118164062,252680400,AAPL,23.950000762939453,22.278298950195314,,,,22.40567088755797,22.65167098876561,23.029086973736675,23.43875737888412,,-0.4183162062263399,-0.29411145442209685,-0.12420475180424306,,,,,,,,,,,,-139682800.0,,,,22.30273119136565,22.80385359822113,,,,21.538908004760742,23.029086973736675,24.56710054922218,21.49107339825117
2016-01-15,21.764280557825284,22.105903335147378,21.574239845295597,21.97468376159668,319335600,AAPL,27.020000457763672,22.285990905761718,22.504084587097168,,,22.262008512237543,22.52858240200762,22.928667620199533,23.381342727225793,,-0.4489301804778698,-0.32507519963325143,-0.12385498084461838,,,,,,,,,,,,-459018400.0,,,,21.884942314013216,22.760868773246155,,,,21.859634399414062,22.928667620199533,24.529281008458025,21.328054231941042
