date,open,high,low,close,volume,ticker,vix,turbulence,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,ema_50,rsi_14,macd_line,macd_signal,macd_hist,bb_middle_20,bb_upper_20,bb_lower_20,bb_pct_b_20,atr_14,adx_14,pdi_14,ndi_14,cci_20,stoch_k_14,stoch_d_14_3,obv,mfi_14,roc_12,williams_r_14,vwap,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,keltner_middle,keltner_upper,keltner_lower
2016-01-04,-1.2094581764970675,-1.2044127373198905,-1.2077530893718023,-1.2005416882019075,2.829133180720249,AAPL,0.30294330653161383,,,,,,-1.1995088482326026,-1.1982967908154372,-1.1960333091837165,-1.1894105226889662,,-0.295217395740194,-0.3175489436785338,0.003423741361744299,,,,,,,,,,,,,,,,-1.2042910990282125,,,,,-1.2538278097927815,-1.1960333091837165,-1.191825557281113,-1.1996489081139623
2016-01-04,-1.250180909242652,-1.2515302517459015,-1.2522170827268997,-1.2470757912777442,2.056695908051169,MSFT,0.30294330653161383,,,,,,-1.2456691027976114,-1.2437998347013395,-1.2401641110853796,-1.2302290478599338,,-0.316784381688124,-0.3477277551737781,0.012295291629342469,,,,,,,,,,,,,,,,-1.250333829196922,,,,,-1.302469997842593,-1.2401641110853796,-1.2402789522213555,-1.2391301200417808
2016-01-05,-1.198866851596798,-1.2028101971437133,-1.2063564071161066,-1.2094384043258573,2.0142035300731216,AAPL,0.12057826894560152,,,,,,-1.2024781287183,-1.1999193068148424,-1.1968864836843645,-1.189766052264252,,-0.31702490049792875,-0.32222302598510283,-0.051108839298863055,,,,,,,,,,,,-2.0941290113839113,,,,-1.206257793699995,,,,,-1.2557648701107689,-1.1968864836843645,-1.1925597369581484,-1.2006313405235756
2016-01-05,-1.2458200279684302,-1.2473482397198685,-1.2439176694999081,-1.2452885144815533,0.4853568132738249,MSFT,0.12057826894560152,,,,,,-1.2450728902075159,-1.2434743265942085,-1.239993249896315,-1.230158144851691,,-0.3116540812463031,-0.3466157313180556,0.024716403917993342,,,,,,,,,,,,-1.4634181554783239,,,,-1.2455901183869809,,,,,-1.302613442926404,-1.239993249896315,-1.2415193062125693,-1.2374305319205445
2016-01-06,-1.2163728261121425,-1.2144282649674079,-1.215008584007551,-1.2162121208565055,2.884660330902641,AAPL,0.28819311797393266,,,,,,-1.2067183780605228,-1.2024821592477022,-1.1983079872202254,-1.1903783300060957,,-0.35046567197612594,-0.333129774768947,-0.12382544228315137,,,,,,,,,,,,-2.205378371091078,,,,-1.2152824254240744,,,,,-1.2547793706912993,-1.1983079872202254,-1.1945619487163674,-1.2014174755691163
2016-01-06,-1.2501809425738841,-1.2543655018463777,-1.2504129072200105,-1.2524375287290392,0.9192433722313454,MSFT,0.28819311797393266,,,,,,-1.2470602345051516,-1.2445100172815886,-1.2405220970730306,-1.2303736306996342,,-0.32821401504533737,-0.3493155787067461,-0.017861532259439088,,,,,,,,,,,,-1.4963158980910019,,,,-1.2524792329472239,,,,,-1.2968023625773226,-1.2405220970730306,-1.2417722231942638,-1.238257922601648
2016-01-07,-1.222714074894587,-1.2219065655485153,-1.2267264571660113,-1.2305345834385137,3.753096713148792,AAPL,0.8781973354016659,,,,,,-1.2143253352235956,-1.2071910612355643,-1.2009676005046843,-1.1915389495048645,,-0.41114311437662865,-0.3548603920950788,-0.2501076610435175,,,,,,,,,,,,-2.337163979014208,,,,-1.226442373153818,,,,,-1.245773665899157,-1.2009676005046843,-1.1959435666948155,-1.2054706364412462
2016-01-07,-1.2617621250580435,-1.2608156127958967,-1.2617432922654706,-1.2658774983139025,2.279007728017104,MSFT,0.8781973354016659,,,,,,-1.252868531984269,-1.2478051574429414,-1.242285420350427,-1.231113842783046,,-0.3796369190650985,-0.36262168414354734,-0.13633158260957837,,,,,,,,,,,,-1.5434036844694652,,,,-1.262872345908309,,,,,-1.2899377349806946,-1.242285420350427,-1.2418285223291847,-1.2418692720610836
2016-01-08,-1.2231526397811725,-1.2253119293345955,-1.2256024342636438,-1.228815960661382,3.045510389958219,AAPL,1.14906299281384,,-1.2183690086095804,,,,-1.2188230493613403,-1.2107303697631229,-1.203209105336233,-1.1925853751021707,,-0.4531486664411234,-0.38124808966330814,-0.30444187839099074,,,,,,,,,,,,-2.2221109362672147,,,,-1.2266447415460024,,,,,-1.2407440967765802,-1.203209105336233,-1.1990387808598657,-1.2067779506279093
2016-01-08,-1.264121200864706,-1.26230405257723,-1.261165854254971,-1.2647335643361903,1.6559299733176447,MSFT,1.14906299281384,,-1.2562477789190836,,,,-1.256359128617135,-1.2502928420304165,-1.2437714495719288,-1.2317796459684953,,-0.415925638033731,-0.38113236926710503,-0.19446582889554134,,,,,,,,,,,,-1.5028181281068516,,,,-1.2628007492643862,,,,,-1.2803274117908898,-1.2437714495719288,-1.2440481572063036,-1.242559453308598
